date,1. open,2. high,3. low,4. close,5. volume
2021-05-06 19:00:00,202.3,202.3,202.3,202.3,210.0
2021-05-06 18:00:00,202.66,202.66,202.66,202.66,217.0
2021-05-06 17:00:00,202.41,202.41,201.8,202.41,85530.0
2021-05-06 16:00:00,200.895,202.51,200.67,202.41,482593.0
2021-05-06 15:00:00,201.87,201.88,200.74,200.9,196097.0
2021-05-06 14:00:00,201.41,202.05,201.26,201.87,104390.0
2021-05-06 13:00:00,201.6,201.73,200.91,201.33,110516.0
2021-05-06 12:00:00,201.31,202.15,201.2001,201.62,208368.0
2021-05-06 11:00:00,200.69,201.44,200.4601,201.3192,197295.0
2021-05-06 10:00:00,201.28,201.84,200.69,200.81,219152.0
2021-05-06 09:00:00,201.7336,201.7336,201.7336,201.7336,100.0
2021-05-06 08:00:00,201.08,201.08,201.08,201.08,170.0
2021-05-05 17:00:00,201.44,201.66,201.23,201.66,77561.0
2021-05-05 16:00:00,201.425,201.65,200.82,201.39,417687.0
2021-05-05 15:00:00,201.09,201.7195,200.9701,201.43,182077.0
2021-05-05 14:00:00,200.755,201.16,200.6813,201.11,179471.0
2021-05-05 13:00:00,199.91,200.78,199.85,200.725,206914.0
2021-05-05 12:00:00,198.7874,199.92,198.7,199.9,175101.0
2021-05-05 11:00:00,198.76,199.0,197.88,198.77,358463.0
2021-05-05 10:00:00,200.0,200.0,198.25,198.6093,206006.0
2021-05-05 09:00:00,199.6,199.97,199.6,199.97,811.0
2021-05-04 17:00:00,199.38,199.38,199.01,199.38,72331.0
2021-05-04 16:00:00,199.025,199.48,198.68,199.48,355327.0
2021-05-04 15:00:00,199.115,199.33,198.87,199.06,156506.0
2021-05-04 14:00:00,199.2186,199.56,198.85,199.12,165931.0
2021-05-04 13:00:00,199.34,199.56,199.17,199.2,171788.0
2021-05-04 12:00:00,198.9525,199.49,198.315,199.375,212715.0
2021-05-04 11:00:00,198.28,199.23,197.88,198.96,212295.0
2021-05-04 10:00:00,198.49,199.5,197.5426,198.29,246504.0
2021-05-03 17:00:00,198.61,198.61,198.36,198.36,36450.0
2021-05-03 16:00:00,198.79,198.93,198.41,198.56,374580.0
2021-05-03 15:00:00,199.04,199.16,198.71,198.775,146091.0
2021-05-03 14:00:00,199.32,199.47,198.995,199.002,114942.0
2021-05-03 13:00:00,198.68,199.43,198.22,199.3,238410.0
2021-05-03 12:00:00,197.475,198.855,197.06,198.67,143015.0
2021-05-03 11:00:00,198.14,198.14,196.66,197.37,304573.0
2021-05-03 10:00:00,197.99,198.82,197.51,198.15,256926.0
2021-05-03 09:00:00,197.65,197.65,197.65,197.65,107.0
2021-05-03 08:00:00,197.63,197.63,197.5,197.5,550.0
2021-05-03 06:00:00,197.5,197.5,197.5,197.5,230.0
2021-04-30 20:00:00,196.69,196.69,196.69,196.69,201.0
2021-04-30 17:00:00,197.14,197.14,196.0,196.08,272976.0
2021-04-30 16:00:00,196.32,197.41,196.13,197.21,514301.0
2021-04-30 15:00:00,196.58,196.84,196.17,196.27,195110.0
2021-04-30 14:00:00,196.6613,197.02,196.47,196.57,119160.0
2021-04-30 13:00:00,196.3,196.95,196.24,196.67,122619.0
2021-04-30 12:00:00,196.89,197.1,196.15,196.34,159962.0
2021-04-30 11:00:00,197.38,197.54,196.5,197.04,205670.0
2021-04-30 10:00:00,197.66,198.99,197.29,197.52,250393.0
2021-04-30 09:00:00,199.0,199.0,197.5,197.5,996.0
2021-04-30 08:00:00,198.73,198.91,198.73,198.91,600.0
2021-04-30 06:00:00,198.46,198.46,198.46,198.46,334.0
2021-04-29 17:00:00,198.75,199.06,198.75,198.82,71173.0
2021-04-29 16:00:00,198.89,199.17,198.29,199.07,390977.0
2021-04-29 15:00:00,198.77,199.41,198.61,198.9,145546.0
2021-04-29 14:00:00,199.1,199.28,198.66,198.75,154880.0
